Source,Target,Type,Rota de ligacao
431,432,Undirected,245
431,432,Undirected,505
431,432,Undirected,550
431,432,Undirected,555
431,432,Undirected,55
431,432,Undirected,92
432,433,Undirected,245
432,433,Undirected,505
432,433,Undirected,550
432,433,Undirected,555
432,433,Undirected,55
432,433,Undirected,92
433,434,Undirected,245
433,434,Undirected,505
433,434,Undirected,550
433,434,Undirected,555
433,434,Undirected,55
433,434,Undirected,92
434,624,Undirected,245
434,437,Undirected,505
434,436,Undirected,550
434,435,Undirected,555
434,437,Undirected,55
434,577,Undirected,92
435,436,Undirected,555
436,449,Undirected,550
436,437,Undirected,555
437,438,Undirected,303
437,438,Undirected,3
437,438,Undirected,505
437,438,Undirected,555
437,438,Undirected,55
438,451,Undirected,303
438,573,Undirected,3
438,451,Undirected,505
438,440,Undirected,555
438,440,Undirected,55
439,458,Undirected,333
440,441,Undirected,500
440,441,Undirected,555
440,441,Undirected,55
441,451,Undirected,500
441,442,Undirected,555
441,451,Undirected,55
442,443,Undirected,555
443,444,Undirected,555
444,445,Undirected,555
445,446,Undirected,555
446,447,Undirected,555
447,448,Undirected,555
448,449,Undirected,555
449,450,Undirected,202
449,490,Undirected,550
449,451,Undirected,555
450,451,Undirected,202
451,452,Undirected,202
451,452,Undirected,20
451,452,Undirected,222
451,452,Undirected,263
451,452,Undirected,303
451,452,Undirected,500
451,452,Undirected,505
451,452,Undirected,555
451,452,Undirected,55
451,452,Undirected,909
452,453,Undirected,202
452,453,Undirected,20
452,453,Undirected,222
452,453,Undirected,263
452,453,Undirected,303
452,453,Undirected,500
452,453,Undirected,505
452,453,Undirected,555
452,453,Undirected,55
452,453,Undirected,909
453,454,Undirected,202
453,454,Undirected,20
453,454,Undirected,222
453,454,Undirected,263
453,454,Undirected,303
453,454,Undirected,500
453,454,Undirected,505
453,454,Undirected,555
453,454,Undirected,55
453,454,Undirected,909
454,571,Undirected,202
454,457,Undirected,20
454,457,Undirected,222
454,457,Undirected,263
454,457,Undirected,303
454,457,Undirected,500
454,455,Undirected,505
454,456,Undirected,555
454,456,Undirected,55
454,451,Undirected,909
455,457,Undirected,505
456,457,Undirected,555
456,492,Undirected,55
457,458,Undirected,20
457,492,Undirected,222
457,560,Undirected,263
457,458,Undirected,300
457,458,Undirected,303
457,548,Undirected,500
457,477,Undirected,505
457,458,Undirected,555
457,458,Undirected,903
458,459,Undirected,20
458,459,Undirected,300
458,459,Undirected,303
458,459,Undirected,333
458,459,Undirected,555
458,459,Undirected,903
459,460,Undirected,20
459,460,Undirected,300
459,460,Undirected,303
459,460,Undirected,333
459,460,Undirected,555
459,460,Undirected,903
460,477,Undirected,20
460,465,Undirected,300
460,465,Undirected,303
460,485,Undirected,333
460,461,Undirected,555
460,477,Undirected,903
461,462,Undirected,555
462,463,Undirected,555
463,464,Undirected,555
464,465,Undirected,555
465,477,Undirected,300
465,566,Undirected,303
465,466,Undirected,555
466,467,Undirected,555
467,468,Undirected,555
468,469,Undirected,555
469,470,Undirected,555
470,471,Undirected,555
471,472,Undirected,555
472,473,Undirected,555
473,474,Undirected,555
474,475,Undirected,555
475,476,Undirected,555
476,548,Undirected,555
476,477,Undirected,910
477,478,Undirected,20
477,478,Undirected,300
477,478,Undirected,505
477,478,Undirected,903
477,478,Undirected,910
478,566,Undirected,20
478,566,Undirected,300
478,479,Undirected,505
478,566,Undirected,903
478,766,Undirected,910
479,480,Undirected,505
480,481,Undirected,505
481,482,Undirected,505
482,483,Undirected,505
483,484,Undirected,505
484,485,Undirected,505
485,566,Undirected,333
485,486,Undirected,505
486,487,Undirected,505
